word, count
society, 49
searching, 53
october, 1
united, 16
nations, 2
launched, 1
campaign, 10
directed, 3
advertising, 29
agency, 3
memac, 2
ogilvy, 3
mather, 2
dubai, 2
using, 15
google, 114
bring, 4
attention, 10
sexist, 15
discriminatory, 2
ways, 40
women, 49
regarded, 1
denied, 1
human, 17
christopher, 1
hunt, 2
art, 2
director, 2
said, 3
came, 4
across, 4
searches, 20
shocked, 1
negative, 3
decided, 2
something, 4
kareem, 1
shuhaibar, 1
copywriter, 1
described, 1
website, 6
determined, 4
ads, 8
shocking, 1
show, 8
far, 3
still, 8
go, 4
achieve, 2
gender, 14
wake, 2
call, 4
hope, 1
message, 1
travel, 1
mouths, 1
various, 4
color, 8
autosuggestions, 3
reflected, 4
popular, 12
take, 8
place, 8
search, 214
featured, 1
range, 3
ideas, 11
drive, 5
bishops, 1
trusted, 5
speak, 2
church, 2
rights, 6
vote, 1
work, 24
box, 6
stay, 1
home, 2
slaves, 1
kitchen, 1
need, 6
put, 6
places, 2
know, 7
controlled, 1
disciplined, 1
employed, 2
results, 99
make, 13
larger, 3
point, 6
status, 8
public, 54
opinion, 1
toward, 8
also, 17
served, 2
perhaps, 2
unwittingly, 1
underscore, 4
incredibly, 1
powerful, 8
nature, 5
engine, 47
suggests, 8
mirror, 2
beliefs, 5
holds, 3
variety, 8
find, 9
troubling, 3
reinforces, 3
idea, 5
problem, 3
rather, 9
users, 46
engines, 41
simply, 4
rises, 3
black, 54
girls, 22
introduction, 1
people, 44
communities, 2
protections, 3
future, 6
knowledge, 8
information, 85
culture, 6
conclusion, 1
epilogue, 1
content, 78
downloaded, 48
fri, 47
jun, 47
utc, 48
use, 69
subject, 51
http, 46
top, 16
serving, 2
important, 22
disturbing, 3
critique, 9
attitudes, 1
fails, 1
implicate, 1
algorithms, 9
certain, 7
chapter, 2
moves, 2
lens, 4
onto, 1
architecture, 2
order, 13
shed, 1
light, 1
many, 23
factors, 2
keep, 2
racist, 18
first, 12
one, 33
limitation, 1
looking, 6
implications, 7
constantly, 2
evolving, 1
shifting, 2
captures, 1
aspects, 5
commercial, 41
particular, 5
surely, 1
time, 15
readers, 1
engage, 7
historical, 11
contemporary, 4
nevertheless, 2
goal, 5
exploration, 5
get, 2
troublesome, 2
help, 2
us, 10
think, 5
whether, 11
truly, 1
makes, 6
sense, 8
outsource, 2
needs, 4
particularly, 11
increasingly, 6
reliant, 4
lieu, 1
libraries, 4
librarians, 2
teachers, 1
researchers, 6
keepers, 1
even, 14
crucial, 2
living, 1
minority, 3
groups, 10
influence, 4
majority, 6
sexual, 3
minorities, 1
states, 11
often, 14
whims, 1
influences, 1
trying, 2
affect, 1
kinds, 7
offer, 2
rules, 1
might, 10
ever, 3
able, 4
control, 11
way, 20
represented, 6
true, 4
desires, 2
usage, 1
figure, 17
values, 8
surround, 1
identities, 7
reasons, 2
deeper, 3
social, 42
conditions, 5
give, 3
rise, 4
problematic, 11
since, 8
rarely, 4
questioned, 1
internet, 38
come, 4
dominate, 2
page, 27
racism, 7
sexism, 5
forefront, 1
encounter, 2
experience, 3
pushed, 1
researcher, 1
explore, 1
technological, 7
could, 25
render, 1
pornification, 4
result, 9
naturalizing, 1
objects, 4
talking, 1
friend, 1
brock, 1
university, 17
michigan, 1
causally, 1
mentioned, 1
day, 3
see, 11
happens, 3
assumed, 3
aberration, 1
potentially, 2
shift, 5
kept, 1
thinking, 7
second, 2
spring, 1
morning, 1
searched, 2
activities, 3
entertain, 1
preteen, 1
stepdaughter, 1
cousins, 1
similar, 3
age, 4
made, 11
weekend, 1
visit, 1
ready, 1
hanging, 1
would, 15
inevitably, 1
include, 7
break, 1
away, 6
mindless, 1
tv, 1
watching, 1
cellphone, 1
gazing, 1
wanted, 1
conversations, 1
mind, 1
perspective, 6
young, 4
growing, 4
downstate, 1
illinois, 3
predominantly, 1
conservative, 1
part, 17
middle, 1
felt, 1
great, 2
resources, 7
locate, 1
quickly, 1
turned, 1
computer, 10
used, 10
research, 28
pursuing, 1
doctoral, 2
studies, 9
let, 2
group, 7
gather, 2
around, 4
opened, 2
enter, 2
terms, 12
reflect, 8
interests, 11
demographics, 1
liked, 1
prescreen, 1
anticipate, 1
found, 11
web, 38
prepare, 1
back, 3
simple, 3
seemingly, 2
innocuous, 1
nothing, 3
short, 1
feet, 1
giggling, 1
snorting, 1
jokes, 1
retrieved, 1
filled, 1
porn, 4
looked, 1
thought, 6
history, 5
engagement, 2
lot, 2
feminist, 16
texts, 1
videos, 1
books, 3
laptop, 2
shifted, 1
intending, 1
almost, 1
inadvertently, 1
exposed, 1
graphic, 1
overt, 1
illustrations, 1
advertisers, 8
already, 4
fodder, 1
sites, 10
dehumanizing, 1
commodities, 1
products, 5
closed, 1
redirected, 1
fun, 1
things, 1
movie, 1
best, 5
listed, 2
rank, 3
certainly, 2
children, 1
profit, 4
motives, 1
driving, 1
notion, 9
neutrality, 4
ranking, 8
retrieval, 5
gone, 1
sideways, 1
worst, 1
examples, 2
classification, 2
digital, 15
yet, 12
remain, 3
unexamined, 1
without, 16
moment, 5
began, 3
earnest, 1
series, 6
inquiries, 1
central, 4
course, 5
upon, 1
reflection, 3
realized, 2
tools, 2
long, 2
encounters, 1
experienced, 3
view, 5
family, 1
realize, 1
undoubtedly, 1
confronted, 1
type, 4
learned, 1
trained, 1
somehow, 2
become, 14
inured, 1
given, 6
perform, 2
keywords, 7
connected, 2
physical, 2
self, 1
identity, 10
return, 1
pornographic, 5
otherwise, 1
bargain, 2
tacitly, 1
entered, 1
among, 5
woman, 3
late, 1
twentieth, 1
century, 3
knew, 1
presentation, 1
discovered, 1
new, 22
development, 5
connection, 1
tropes, 1
african, 10
americans, 9
old, 6
endemic, 1
country, 2
background, 1
student, 1
scholar, 7
combined, 1
political, 22
economy, 6
aligned, 1
righteous, 1
indignation, 1
september, 4
image, 5
april, 1
autosuggest, 3
phrase, 4
january, 4
white, 11
images, 10
concept, 9
word, 6
december, 2
logged, 1
represents, 1
algorithmic, 7
conceptualizations, 1
answers, 2
questions, 10
notions, 7
beautiful, 1
professor, 10
may, 7
look, 6
like, 5
account, 4
much, 10
dominant, 8
narratives, 7
hegemonic, 1
frameworks, 1
resisted, 1
interrogating, 2
companies, 14
serve, 8
credible, 6
must, 7
happen, 3
instantly, 1
gratified, 1
stereotypes, 3
hundredths, 1
reality, 2
monopolies, 1
ability, 10
prioritize, 3
basis, 9
topics, 2
promoting, 1
business, 4
competitors, 2
smaller, 1
less, 10
profitable, 4
clients, 3
multinational, 4
corporations, 5
case, 12
clicks, 6
coupled, 3
processes, 12
allow, 3
paid, 9
prioritized, 1
mean, 3
representations, 11
ranked, 3
lack, 4
direct, 1
mapping, 1
media, 46
traditions, 1
biases, 4
classifications, 1
critical, 7
library, 8
science, 8
scholars, 17
well, 8
documented, 1
vulnerable, 3
others, 6
misrepresentation, 7
conducted, 4
extensive, 2
critiques, 5
cataloging, 1
systems, 9
organization, 6
patterns, 2
demonstrate, 2
asian, 1
jewish, 6
roma, 1
suffered, 1
insults, 2
derision, 1
congress, 1
headings, 1
dewey, 1
decimal, 1
myriad, 3
race, 13
directly, 5
technology, 12
contributions, 2
possible, 4
embedded, 5
courage, 1
raise, 3
beloved, 1
revered, 1
highly, 4
environment, 3
shape, 4
normalized, 5
believable, 1
presented, 3
associate, 4
sociology, 2
arizona, 1
state, 2
former, 6
president, 3
association, 6
alex, 1
halavais, 3
points, 3
heavily, 1
artifacts, 2
normative, 1
computers, 1
socialize, 1
believing, 1
therefore, 3
provide, 5
access, 7
accurate, 4
depoliticized, 1
assumptions, 1
dangerously, 1
unpacking, 1
interest, 5
technologists, 1
marketers, 2
anyone, 3
wants, 3
understand, 2
newly, 1
networked, 1
play, 2
role, 5
corralling, 1
controlling, 1
sea, 1
available, 2
readily, 1
ought, 1
freely, 3
seems, 1
sorting, 1
wheat, 1
chaff, 1
answer, 2
profound, 4
trivial, 1
object, 2
unlike, 2
labor, 4
curation, 3
early, 2
led, 3
creation, 2
online, 11
directories, 1
lycos, 1
current, 4
left, 2
complex, 5
machines, 1
selections, 1
agree, 2
window, 1
impact, 11
symbiotic, 1
process, 19
informs, 1
informed, 4
every, 10
user, 10
system, 14
works, 8
collected, 1
aggregated, 1
vision, 1
high, 4
degree, 4
programming, 3
literacy, 2
deeply, 3
design, 1
output, 2
alternatively, 1
draw, 1
analogy, 1
mechanism, 5
radio, 3
transmission, 1
television, 3
spectrum, 1
build, 1
cathode, 1
ray, 1
tube, 1
depictions, 2
song, 1
lyrics, 1
played, 1
shown, 3
film, 1
doubt, 3
unaware, 1
significantly, 2
platforms, 9
interrogate, 1
book, 7
proprietary, 1
intervene, 4
private, 8
corporate, 4
specific, 12
technical, 3
critiquing, 1
code, 5
underlies, 1
absolutely, 1
necessary, 1
interventions, 1
focused, 2
teaching, 1
american, 10
program, 1
kind, 5
intervention, 3
building, 4
response, 2
locked, 1
silicon, 3
valley, 2
venture, 1
capital, 3
broader, 2
simultaneously, 1
purport, 1
represent, 1
ten, 3
twenty, 1
economic, 15
withstand, 2
consequences, 2
power, 22
buffer, 1
level, 5
individual, 15
marginalized, 4
oppressed, 3
linked, 4
likely, 3
afforded, 2
insulation, 1
experiences, 4
demonstrates, 3
fundamental, 2
invention, 1
scientists, 1
language, 1
full, 1
meaning, 6
applied, 1
varying, 1
different, 9
types, 3
benefit, 4
tremendously, 1
becoming, 1
programmers, 2
alternative, 3
wider, 1
informational, 1
movement, 1
raising, 1
helen, 1
nissenbaum, 1
communication, 6
york, 2
written, 7
lucas, 1
introna, 1
ethics, 2
lancaster, 1
management, 2
school, 4
bias, 10
corroborated, 1
alejandro, 1
diaz, 2
wrote, 1
dissertation, 2
stanford, 2
sociopolitical, 1
kate, 1
crawford, 2
tarleton, 1
gillespie, 1
two, 1
microsoft, 1
england, 1
extensively, 4
recently, 3
coorganized, 1
summit, 1
house, 1
academics, 1
industry, 5
activists, 1
concerned, 4
artificial, 5
intelligence, 6
meeting, 1
participated, 1
working, 3
inequality, 3
tremendous, 1
concern, 3
raised, 2
learning, 2
projects, 4
software, 6
applications, 3
including, 9
furthering, 2
injustice, 1
structural, 2
attendance, 1
journalist, 2
julia, 1
angwin, 1
investigators, 1
breaking, 2
story, 1
courtroom, 1
sentencing, 2
northpointe, 1
risk, 3
assessment, 1
judges, 1
determine, 1
alleged, 1
criminality, 1
colleagues, 1
miserably, 1
mispredicted, 1
criminal, 1
activity, 2
overincarceration, 1
conversely, 1
reporters, 1
predict, 1
criminals, 1
offend, 1
despite, 4
data, 13
showing, 4
sitting, 1
next, 2
cathy, 1
scientist, 1
author, 2
weapons, 1
math, 2
destruction, 1
big, 3
implicated, 3
financial, 2
housing, 1
crisis, 2
incidentally, 1
destroyed, 1
wealth, 2
event, 1
save, 1
compensating, 1
three, 1
hundred, 2
years, 5
forced, 2
wall, 1
street, 1
powered, 1
powering, 1
based, 7
choices, 2
fallible, 1
models, 2
encoded, 1
prejudice, 4
misunderstanding, 2
managed, 1
gods, 1
mathematical, 2
opaque, 1
workings, 1
invisible, 1
highest, 1
priests, 1
mathematicians, 1
verdicts, 1
wrong, 2
harmful, 4
beyond, 5
dispute, 2
tended, 1
punish, 1
poor, 1
making, 10
rich, 1
respective, 1
computing, 1
profoundly, 2
face, 2
evidence, 4
struggles, 2
hold, 1
tech, 2
accountable, 1
errors, 2
lead, 1
racial, 13
profiling, 1
core, 1
argument, 2
profitability, 1
bolster, 1
market, 9
dominance, 5
illuminate, 1
trade, 3
privacy, 4
personal, 7
immaterial, 1
services, 3
offered, 1
gmail, 2
company, 8
profits, 2
mining, 1
recent, 6
siva, 2
vaidhyanathan, 1
virginia, 1
date, 2
landscape, 8
forms, 4
theme, 1
frank, 1
pasquale, 1
law, 3
maryland, 1
forewarned, 1
increasing, 2
levels, 1
decisions, 5
credit, 2
dating, 1
options, 1
difficult, 4
elad, 1
segev, 1
senior, 1
lecturer, 1
department, 5
tel, 1
aviv, 1
charges, 1
longer, 2
ignore, 1
global, 3
serves, 4
site, 5
fostering, 1
however, 6
missing, 2
extant, 1
intersectional, 3
analysis, 7
accounts, 1
exponentially, 1
harmed, 1
writing, 2
parent, 2
alphabet, 4
expanded, 2
drone, 1
grade, 1
robotics, 1
fiber, 2
networks, 2
behavioral, 2
surveillance, 4
technologies, 3
nest, 1
several, 3
entry, 1
robots, 1
automated, 8
decision, 2
end, 3
life, 8
drones, 1
bodies, 3
govern, 1
issues, 3
lodge, 1
complaints, 1
national, 4
international, 3
fully, 1
midst, 1
expansion, 1
underexamined, 1
areas, 1
consumer, 4
protection, 1
policy, 9
regulation, 1
successful, 1
european, 2
key, 2
aspect, 2
generating, 2
protects, 1
accumulation, 1
unregulated, 3
space, 3
taking, 4
deep, 3
snapshot, 1
interpreting, 1
angles, 1
taken, 1
compelling, 1
biased, 3
perpetuates, 1
problems, 3
protocols, 1
favor, 1
elites, 3
machine, 1
replicate, 1
predicated, 3
namely, 1
institutions, 7
diana, 1
ascher, 2
yellow, 2
journalism, 1
cultural, 9
orientation, 1
ucla, 4
stark, 1
difference, 4
headlines, 1
generated, 5
managers, 1
la, 1
times, 1
provided, 2
algorithmically, 1
driven, 2
severe, 1
backlash, 1
tweets, 1
news, 7
misrepresentative, 1
police, 3
shooting, 1
victim, 1
keith, 2
lamont, 2
scott, 2
charlotte, 1
north, 2
carolina, 2
whose, 4
murder, 1
triggered, 1
nationwide, 1
protests, 1
brutality, 2
excessive, 1
ensuing, 1
chapters, 1
continue, 5
probe, 1
keyword, 8
combinations, 2
relating, 1
engaging, 2
commonsense, 1
understanding, 9
changing, 1
seeing, 3
discussing, 2
relations, 6
significant, 3
opportunity, 2
transform, 1
consciousness, 1
fact, 15
product, 4
collective, 3
theorizing, 4
project, 6
impetus, 1
comes, 3
ask, 4
structure, 1
standpoint, 2
drives, 2
previously, 3
posed, 1
study, 13
builds, 1
previous, 4
looks, 1
racialization, 2
salient, 1
factor, 3
engagements, 2
video, 5
games, 1
websites, 3
virtual, 1
worlds, 1
offers, 3
quality, 6
hierarchies, 1
stereotyping, 3
appear, 4
contextualizes, 1
decentering, 1
lenses, 2
headline, 1
tweeted, 1
killed, 1
reported, 6
los, 1
angeles, 1
purposefully, 1
addressing, 2
overlooked, 1
theories, 1
emeritus, 1
sandra, 1
harding, 1
value, 3
identifying, 1
method, 3
challenges, 4
reveal, 4
least, 9
determinative, 1
adequacy, 1
total, 3
picture, 1
defining, 1
scientific, 3
explanation, 5
bourgeois, 1
leads, 2
partial, 1
perverse, 1
understandings, 1
distinctive, 1
feature, 2
generates, 1
problematics, 1
assert, 2
impossible, 1
correct, 1
disclaimer, 4
believe, 3
awareness, 1
ground, 2
interpretations, 1
positions, 1
benign, 1
instrumentality, 1
knowing, 2
example, 10
foreground, 1
tendencies, 1
misrepresent, 1
misrepresentations, 4
maintain, 2
exacerbate, 1
relationships, 1
maintaining, 3
persistent, 3
normalization, 1
aberrant, 1
undeserving, 1
dignity, 1
banners, 1
safety, 1
innovation, 1
emerging, 1
creative, 1
challenging, 3
egregious, 2
dehumanization, 1
rendered, 1
legitimate, 2
asking, 1
justice, 1
systemically, 1
eye, 1
complicating, 3
virtue, 3
legitimation, 2
exists, 2
racialized, 4
hierarchy, 1
embraces, 1
reflects, 1
premium, 1
number, 5
rankings, 5
live, 3
de, 1
facto, 1
problematized, 1
prioritization, 2
aim, 1
explicitly, 5
address, 1
fueled, 1
neoliberal, 4
past, 5
thirty, 1
feminism, 2
theoretical, 3
methodological, 1
approach, 3
commodified, 2
deserves, 2
scholarly, 7
defined, 3
significance, 1
presence, 1
misunderstood, 2
clouded, 2
authenticity, 1
essence, 3
context, 6
derogatory, 3
placement, 2
easier, 1
strictly, 2
pornography, 4
anything, 2
believes, 3
either, 2
explain, 2
included, 2
surface, 4
primary, 2
stripped, 2
sexualized, 1
addition, 3
words, 3
phenomenon, 1
argue, 3
replicated, 1
offline, 3
materiality, 1
traditional, 9
real, 4
situated, 1
authoritative, 1
artifact, 2
articulated, 1
harm, 8
class, 3
sexuality, 2
socially, 3
constructed, 3
categories, 1
interact, 1
another, 7
matrix, 2
create, 1
useful, 2
antiessentializing, 1
mutually, 1
constituted, 1
creating, 3
interesting, 1
analytical, 1
tends, 1
universalize, 1
assigned, 1
blackness, 1
organizes, 1
primarily, 4
conceived, 2
leaving, 1
precarious, 1
understudied, 1
provides, 5
countless, 1
female, 1
appropriation, 1
exploitation, 1
representation, 2
reap, 1
benefits, 2
bell, 1
hooks, 1
capitalism, 1
hypersexualization, 1
mandate, 1
interested, 3
inspiration, 1
action, 1
host, 6
helped, 1
databases, 2
structuring, 1
cases, 5
present, 3
mediate, 1
mediated, 5
imperatives, 1
supported, 1
policies, 5
underwrite, 1
commodification, 1
ultimately, 2
designed, 3
plain, 1
say, 7
community, 3
exactly, 2
assaulted, 1
environments, 1
unfamiliar, 1
dissimilar, 1
intend, 1
