word, count
areopagitica, 1
speech, 3
liberty, 12
unlicensed, 6
printing, 4
parliament, 12
england, 5
true, 13
men, 39
advise, 1
public, 7
may, 61
speak, 4
free, 11
deserves, 3
high, 5
neither, 14
hold, 5
juster, 1
state, 12
states, 1
governors, 2
commonwealth, 9
direct, 1
court, 3
wanting, 2
access, 1
private, 7
condition, 4
write, 5
foresee, 2
advance, 3
suppose, 2
beginning, 3
mean, 5
endeavour, 2
little, 12
altered, 1
moved, 2
inwardly, 2
doubt, 4
success, 2
others, 17
fear, 8
hope, 8
confidence, 2
perhaps, 19
dispositions, 1
subject, 2
whereon, 2
entered, 1
times, 8
variously, 2
likely, 4
might, 25
foremost, 2
expressions, 2
also, 19
disclose, 1
swayed, 1
attempt, 1
address, 1
thus, 15
made, 19
thought, 18
hath, 33
recourse, 1
got, 2
power, 4
within, 6
passion, 1
far, 10
welcome, 1
incidental, 1
though, 27
stay, 2
confess, 2
ere, 7
ask, 4
shall, 53
blameless, 1
joy, 1
gratulation, 1
brings, 3
wish, 5
promote, 1
whereof, 13
whole, 14
discourse, 6
proposed, 1
certain, 11
testimony, 3
grievance, 2
ever, 24
arise, 1
let, 9
man, 50
world, 17
complaints, 1
freely, 6
heard, 13
deeply, 1
considered, 2
speedily, 3
reformed, 4
utmost, 3
bound, 3
civil, 6
attained, 2
wise, 9
look, 6
manifest, 2
sound, 1
utter, 2
already, 9
good, 45
part, 9
arrived, 1
yet, 63
steep, 1
disadvantage, 1
tyranny, 3
superstition, 2
grounded, 1
principles, 1
beyond, 8
manhood, 1
roman, 5
recovery, 1
attributed, 1
first, 37
due, 2
strong, 5
assistance, 2
god, 29
deliverer, 1
next, 14
faithful, 2
guidance, 2
undaunted, 1
wisdom, 10
lords, 11
commons, 9
esteem, 5
diminution, 1
glory, 3
honourable, 3
things, 28
spoken, 2
worthy, 6
begin, 3
fair, 2
progress, 1
laudable, 1
deeds, 1
long, 8
obligement, 1
upon, 28
realm, 1
indefatigable, 1
virtues, 1
justly, 3
reckoned, 1
among, 23
tardiest, 1
unwillingest, 1
praise, 6
nevertheless, 2
three, 6
principal, 1
without, 28
praising, 2
courtship, 1
praised, 1
solidly, 1
worth, 5
greatest, 10
likelihoods, 1
brought, 5
truly, 2
really, 1
persons, 3
praises, 1
showing, 1
actual, 1
persuasion, 2
writes, 4
demonstrate, 1
flatters, 1
former, 3
two, 9
heretofore, 4
endeavoured, 1
rescuing, 1
employment, 3
went, 4
impair, 1
merits, 1
trivial, 1
malignant, 2
latter, 3
belonging, 1
chiefly, 1
mine, 1
acquittal, 1
extolled, 2
flatter, 1
reserved, 1
opportunely, 1
magnifies, 1
nobly, 1
done, 12
fears, 1
declare, 2
better, 22
gives, 5
ye, 55
best, 10
covenant, 1
loyalest, 1
affection, 1
waits, 2
highest, 5
flattery, 2
plainest, 1
advice, 3
kind, 11
affirm, 1
argument, 3
would, 28
fare, 2
truth, 36
learning, 24
one, 35
published, 6
orders, 1
name, 13
called, 4
time, 21
could, 23
much, 34
redound, 1
lustre, 1
mild, 3
equal, 3
government, 3
whenas, 8
hereby, 1
animated, 1
think, 13
pleased, 3
statists, 1
delighted, 1
see, 16
difference, 2
magnanimity, 1
triennial, 1
jealous, 2
haughtiness, 1
prelates, 8
cabin, 1
counsellors, 1
usurped, 1
late, 8
observe, 1
midst, 2
victories, 1
successes, 1
gently, 1
brooking, 1
written, 10
exceptions, 1
voted, 1
order, 22
courts, 2
produced, 1
nothing, 16
memory, 1
weak, 4
ostentation, 1
wealth, 1
endured, 1
least, 11
signified, 1
dislike, 1
sudden, 3
presume, 1
meek, 1
demeanour, 2
gentle, 3
greatness, 1
directly, 1
said, 4
gainsay, 1
