word, count
masque, 1
request, 1
success, 2
counted, 2
sweetest, 3
comprehend, 1
nectar, 1
requires, 1
sorest, 1
one, 94
purple, 21
host, 5
took, 11
flag, 5
tell, 36
definition, 1
clear, 3
victory, 5
defeated, 1
dying, 7
whose, 28
forbidden, 5
ear, 11
distant, 9
strains, 3
triumph, 6
break, 10
agonized, 1
share, 2
night, 40
bear, 9
morning, 26
blank, 2
bliss, 11
fill, 2
star, 8
lose, 5
mist, 2
afterwards, 1
rouge, 3
et, 1
soul, 27
wilt, 3
thou, 21
toss, 3
hazard, 1
hundreds, 1
lost, 25
indeed, 7
tens, 1
breathless, 3
ballot, 1
lingers, 1
record, 2
imps, 1
eager, 1
caucus, 1
raffle, 1
much, 16
fail, 6
yet, 46
poor, 7
ventured, 1
upon, 91
hesitated, 1
side, 11
life, 46
death, 30
breath, 13
least, 9
know, 54
worst, 4
defeat, 5
means, 3
nothing, 8
drearier, 1
gain, 6
oh, 21
gun, 1
sea, 25
bells, 11
steeples, 5
first, 31
repeat, 3
heaven, 39
different, 5
thing, 19
conjectured, 2
waked, 2
sudden, 8
might, 28
great, 9
storm, 7
four, 3
recovered, 1
forty, 1
gone, 9
together, 4
boiling, 1
ring, 4
scant, 3
toll, 2
bonnie, 1
souls, 5
neighbor, 7
friend, 19
bridegroom, 1
spinning, 1
shipwreck, 1
winter, 5
shakes, 1
door, 20
till, 58
children, 15
ask, 11
come, 34
back, 17
silence, 5
suffuses, 1
story, 2
softness, 1
question, 3
waves, 1
stop, 7
heart, 24
breaking, 6
shall, 28
live, 11
ease, 3
aching, 2
cool, 9
pain, 10
help, 6
fainting, 2
robin, 9
unto, 23
nest, 5
within, 25
could, 84
chanced, 1
soft, 9
sauntered, 2
village, 10
unsuspected, 1
violets, 2
fields, 9
lie, 9
low, 15
late, 11
striving, 1
fingers, 23
passed, 16
hour, 10
wounded, 1
deer, 2
leaps, 2
highest, 1
heard, 17
hunter, 1
ecstasy, 6
brake, 2
smitten, 1
rock, 3
gushes, 1
trampled, 1
steel, 1
cheek, 8
always, 7
redder, 1
hectic, 1
mirth, 1
mail, 2
anguish, 12
cautions, 1
arm, 2
lest, 16
anybody, 6
spy, 2
blood, 2
asks, 1
pleasure, 3
excuse, 1
little, 92
anodynes, 1
deaden, 1
go, 33
inquisitor, 1
liberty, 3
precious, 3
mouldering, 1
meet, 14
antique, 2
book, 7
dress, 4
century, 1
privilege, 5
think, 13
venerable, 1
hand, 17
take, 24
warming, 1
passage, 2
two, 19
make, 17
times, 7
quaint, 5
opinions, 1
inspect, 1
knowledge, 1
unfold, 1
concerns, 1
mutual, 3
mind, 14
literature, 1
interested, 1
scholars, 2
competitions, 1
ran, 2
plato, 1
sophocles, 1
sappho, 1
living, 2
girl, 3
beatrice, 1
wore, 4
gown, 6
dante, 1
facts, 2
centuries, 8
traverses, 1
familiar, 4
town, 8
dreams, 2
lived, 8
presence, 6
enchantment, 1
beg, 1
old, 22
volumes, 2
shake, 2
vellum, 1
heads, 3
tantalize, 1
madness, 1
divinest, 1
sense, 5
discerning, 1
starkest, 1
majority, 3
assent, 1
demur, 1
straightway, 1
dangerous, 1
handled, 1
asked, 5
offered, 2
mighty, 9
merchant, 2
twirled, 1
button, 1
without, 38
glance, 2
madam, 1
else, 3
show, 13
selects, 1
society, 2
shuts, 2
divine, 4
obtrude, 1
unmoved, 4
notes, 3
pausing, 1
emperor, 3
kneeling, 1
known, 7
ample, 9
nation, 2
choose, 7
close, 8
valves, 1
attention, 1
like, 116
things, 7
fly, 11
birds, 19
hours, 6
stay, 6
grief, 6
hills, 15
behooveth, 1
resting, 1
expound, 1
still, 34
riddle, 3
lonely, 2
houses, 7
road, 5
robber, 1
look, 34
wooden, 2
barred, 2
windows, 8
hanging, 1
inviting, 1
portico, 1
tools, 1
peep, 3
sure, 9
eyes, 27
easy, 7
orderly, 3
kitchen, 1
clock, 4
gag, 1
tick, 1
mice, 1
walls, 2
none, 12
pair, 3
spectacles, 1
ajar, 4
stir, 8
mat, 1
winked, 1
nervous, 1
moon, 5
slides, 1
stair, 1
see, 35
plunder, 1
tankard, 1
spoon, 1
earring, 1
stone, 9
watch, 1
ancient, 1
brooch, 1
match, 3
grandmamma, 1
staid, 1
sleeping, 3
day, 44
rattles, 1
sun, 35
got, 8
far, 25
third, 4
screams, 1
chanticleer, 2
echoes, 1
trains, 2
away, 41
sneer, 2
couple, 1
astir, 2
fancy, 1
sunrise, 6
left, 13
fight, 1
aloud, 1
brave, 5
gallanter, 1
charge, 4
bosom, 3
cavalry, 1
win, 1
nations, 1
fall, 5
observe, 2
country, 7
regards, 1
patriot, 1
trust, 5
plumed, 1
procession, 2
angels, 16
rank, 6
even, 14
feet, 27
uniforms, 1
almost, 15
done, 14
grows, 3
near, 9
touch, 13
spaces, 1
time, 45
smooth, 2
hair, 4
get, 7
dimples, 3
ready, 4
wonder, 15
care, 9
faded, 3
midnight, 5
frightened, 2
read, 12
sweet, 18
others, 8
strove, 3
renounced, 2
less, 7
many, 31
bore, 7
faithful, 2
witness, 4
helped, 2
kingdom, 2
faith, 10
shone, 3
hymn, 2
river, 3
names, 2
men, 21
celestial, 4
women, 5
mystery, 3
element, 2
cannot, 24
recollect, 5
began, 4
future, 2
infinite, 4
realms, 2
contain, 2
past, 14
enlightened, 2
perceive, 1
new, 26
periods, 2
taste, 3
liquor, 2
never, 57
brewed, 2
tankards, 2
scooped, 2
vats, 1
rhine, 1
yield, 2
inebriate, 1
air, 18
debauchee, 2
dew, 16
reeling, 1
endless, 2
summer, 30
days, 13
inns, 1
molten, 1
landlords, 1
turn, 6
drunken, 4
bee, 25
butterflies, 9
renounce, 1
drams, 2
drink, 3
seraphs, 2
swing, 1
snowy, 1
hats, 2
saints, 4
run, 3
tippler, 1
leaning, 2
ate, 2
drank, 2
words, 5
spirit, 13
grew, 4
knew, 16
frame, 2
danced, 2
along, 7
dingy, 1
bequest, 1
wings, 5
loosened, 1
hate, 3
grave, 14
would, 67
hinder, 3
finish, 3
since, 17
industry, 1
must, 37
toil, 2
love, 22
thought, 30
large, 8
enough, 11
boat, 5
