word, count
story, 7
life, 4
ted, 1
chiang, 1
father, 11
ask, 18
important, 1
moment, 8
lives, 1
want, 20
pay, 4
attention, 3
note, 2
every, 15
dad, 10
come, 13
back, 23
evening, 2
dinner, 3
came, 4
onto, 2
patio, 2
look, 14
full, 5
told, 5
wanted, 4
dance, 1
humors, 1
pair, 2
thirtysomethings, 1
swaying, 1
forth, 1
like, 76
feel, 8
night, 2
chill, 1
says, 4
make, 25
right, 20
married, 1
two, 20
years, 11
living, 3
ellis, 1
move, 4
still, 11
young, 4
remember, 18
house, 4
show, 9
pictures, 2
tell, 16
stories, 1
love, 3
conceived, 2
time, 33
would, 56
ready, 6
children, 2
never, 17
get, 24
telling, 2
earlier, 2
sit, 2
hear, 12
say, 25
scenario, 2
origin, 1
suggest, 1
reason, 8
could, 57
maid, 2
bitterly, 1
dragging, 1
vacuum, 1
cleaner, 1
ago, 3
knew, 18
carpets, 1
need, 20
vacuuming, 1
around, 12
baby, 1
seemed, 7
cheapest, 1
easiest, 2
way, 25
job, 5
kindly, 1
mother, 3
illegal, 1
seething, 1
unwind, 1
power, 2
cord, 2
plug, 1
wall, 2
belmont, 1
live, 2
see, 28
strangers, 1
occupy, 1
one, 83
grow, 4
sell, 2
first, 22
couple, 2
second, 14
shortly, 1
nelson, 6
moved, 2
farmhouse, 1
know, 36
think, 28
also, 12
lot, 5
began, 8
ships, 3
appeared, 7
orbit, 1
artifacts, 1
government, 2
said, 52
next, 14
nothing, 7
tabloids, 1
possible, 14
got, 11
phone, 3
call, 13
request, 4
spotted, 1
waiting, 5
hallway, 2
outside, 4
made, 15
odd, 2
wore, 1
military, 4
uniform, 1
crew, 1
cut, 3
carried, 1
aluminum, 1
assessing, 1
surroundings, 1
critical, 1
easily, 2
identifiable, 1
beard, 1
mustache, 1
wearing, 3
browsing, 1
overlapping, 1
sheets, 3
stapled, 1
bulletin, 1
board, 1
weber, 18
shook, 3
hands, 5
thank, 3
taking, 2
speak, 5
us, 27
excuse, 1
avoid, 2
faculty, 2
colonel, 26
indicated, 6
gary, 52
donnelly, 4
physicist, 4
mentioned, 2
spoke, 4
anxious, 1
entered, 4
stacks, 1
books, 1
guest, 1
chair, 3
sat, 8
listen, 1
presume, 1
something, 22
offer, 3
recording, 8
took, 9
tape, 2
machine, 1
briefcase, 1
pressed, 2
sounded, 1
vaguely, 2
wet, 2
dog, 1
shaking, 1
water, 4
withheld, 1
comparison, 2
context, 8
liberty, 1
help, 11
interpret, 3
alien, 7
anything, 15
giving, 2
away, 7
seen, 6
assumed, 1
opinion, 1
linguistic, 3
clear, 2
vocal, 4
tract, 2
substantially, 1
different, 18
human, 21
assume, 1
aliens, 7
noncommittal, 1
asked, 21
guesses, 1
based, 6
sound, 16
using, 20
larynx, 2
sounds, 10
else, 5
accustomed, 1
consulting, 1
establishing, 1
communications, 2
going, 14
really, 7
difficult, 2
difference, 8
almost, 13
certainly, 5
reproduce, 1
maybe, 7
ear, 1
mean, 11
ultrasonic, 1
auditory, 1
system, 11
absolute, 2
acoustic, 1
optimized, 1
recognize, 6
bets, 1
able, 8
phonemes, 1
given, 13
enough, 6
practice, 3
ears, 1
simply, 11
distinctions, 1
consider, 6
case, 5
spectrograph, 9
gave, 3
worth, 4
long, 12
take, 11
determine, 3
matter, 5
much, 15
talk, 9
tried, 15
break, 2
learn, 12
unknown, 1
language, 33
interact, 2
native, 2
speaker, 2
asking, 3
questions, 6
holding, 4
conversation, 7
sort, 3
without, 12
someone, 9
training, 1
field, 1
whether, 4
recordings, 1
alone, 1
seem, 4
implying, 1
learned, 7
languages, 9
monitoring, 1
doubt, 2
instructional, 1
material, 1
specifically, 2
designed, 1
teach, 3
either, 8
interaction, 1
tv, 1
otherwise, 1
starting, 2
clearly, 5
found, 5
evidently, 1
philosophy, 2
less, 2
read, 7
expression, 2
rolled, 1
suppressed, 1
learning, 8
new, 8
talking, 9
teaching, 2
depend, 1
cooperative, 1
speakers, 2
pick, 4
bits, 1
pieces, 1
willing, 3
hand, 10
rather, 3
english, 5
things, 8
far, 10
meeting, 1
perhaps, 7
momentous, 1
course, 10
mountain, 1
point, 11
speaking, 8
year, 3
though, 11
thing, 7
drive, 3
together, 7
perform, 2
identification, 1
silent, 1
car, 4
morgue, 1
tile, 1
stainless, 1
steel, 1
hum, 1
smell, 3
orderly, 2
pull, 3
sheet, 2
reveal, 3
face, 5
wrong, 3
somehow, 2
mp, 1
checked, 1
badge, 1
notation, 1
clipboard, 1
opened, 1
drove, 1
vehicle, 1
encampment, 2
small, 3
village, 1
tents, 1
pitched, 1
army, 2
center, 3
devices, 2
nicknamed, 1
according, 5
briefings, 1
attended, 2
nine, 1
united, 1
states, 2
hundred, 2
twelve, 1
looking, 38
glasses, 6
acted, 2
twoway, 1
communication, 2
presumably, 4
fear, 1
cooties, 1
team, 1
scientists, 5
including, 3
linguist, 2
assigned, 2
parking, 3
navigated, 1
circular, 2
maze, 1
concrete, 2
barricades, 1
reached, 4
large, 7
tent, 6
covered, 4
glass, 26
equipment, 2
cart, 2
loaded, 1
goodies, 1
borrowed, 1
phonology, 1
sent, 1
ahead, 3
inspection, 1
three, 7
video, 11
cameras, 2
whose, 4
lenses, 1
peered, 1
windows, 1
fabric, 1
main, 1
everything, 6
reviewed, 1
countless, 2
others, 3
addition, 1
send, 1
daily, 3
reports, 1
mine, 3
include, 3
estimates, 1
thought, 11
held, 1
open, 5
flap, 1
gestured, 4
creatures, 1
likes, 1
green, 2
slim, 1
dime, 1
murmured, 2
walking, 6
inactive, 1
resembling, 1
semicircular, 2
mirror, 1
ten, 1
feet, 4
high, 5
twenty, 2
brown, 2
grass, 1
arc, 1
white, 1
spray, 1
paint, 4
outlined, 1
activation, 1
currently, 2
area, 2
contained, 2
table, 3
folding, 1
chairs, 1
strip, 1
leading, 1
generator, 1
buzz, 2
fluorescent, 1
lamps, 1
hung, 2
poles, 1
along, 12
edge, 3
room, 10
commingled, 1
flies, 1
sweltering, 1
looked, 22
pushing, 1
crossed, 2
line, 8
slowly, 3
raising, 1
illumination, 1
behind, 3
tinted, 1
illusion, 2
depth, 1
felt, 6
walk, 5
fully, 2
lit, 1
resembled, 3
diorama, 1
objects, 1
might, 24
furniture, 1
door, 5
curved, 1
rear, 2
busied, 1
connecting, 1
microphone, 2
portable, 1
computer, 9
worked, 7
glanced, 1
anticipating, 1
even, 15
jumped, 1
barrel, 1
suspended, 1
intersection, 1
seven, 2
radially, 1
symmetric, 1
limbs, 6
serve, 1
arm, 2
four, 3
legs, 3
arms, 2
curled, 2
called, 4
shown, 2
videotapes, 2
distinct, 1
anatomists, 1
guessed, 2
supported, 1
vertebral, 1
whatever, 4
underlying, 3
structure, 1
conspired, 1
disconcertingly, 1
fluid, 1
rode, 1
atop, 1
rippling, 1
smoothly, 1
lidless, 1
eyes, 9
ringed, 1
top, 6
walked, 4
doorway, 1
brief, 4
sputtering, 1
returned, 2
followed, 3
another, 12
ever, 8
turn, 3
eerie, 1
sides, 3
direction, 7
well, 7
watching, 2
deep, 1
done, 1
plenty, 1
fieldwork, 1
amazon, 1
always, 7
bilingual, 1
informants, 2
portuguese, 1
use, 18
previously, 4
gotten, 2
introduction, 1
local, 2
attempt, 2
conducting, 2
true, 5
monolingual, 1
discovery, 2
straightforward, 1
theory, 2
heptapod, 68
side, 6
image, 3
real, 4
skin, 3
texture, 1
gray, 1
corduroy, 1
ridges, 1
arranged, 2
whorls, 1
situation, 2
pointed, 18
heptapods, 60
limb, 3
terminal, 1
digits, 2
cultures, 1
person, 5
used, 11
known, 3
gesture, 2
heard, 5
fluttering, 3
saw, 10
puckered, 1
orifice, 2
body, 7
companion, 1
fluttered, 2
went, 8
screen, 9
virtually, 1
identical, 2
spectrographs, 3
representing, 2
marked, 1
sample, 1
played, 2
flutter, 1
half, 3
utterance, 5
previous, 3
utterances, 5
paused, 1
talked, 2
differed, 2
distinctly, 1
playing, 3
judging, 3
optimistic, 1
confirming, 1
correct, 1
implied, 3
compatibility, 1
patterns, 1
pessimistic, 1
nagging, 1
delimited, 1
certain, 5
sections, 1
typed, 2
tentative, 1
gloss, 1
heading, 3
watched, 5
distinguishes, 2
ones, 3
try, 5
mimic, 1
pause, 1
neither, 6
since, 7
faces, 2
pronouncing, 2
close, 4
impressed, 1
moose, 1
sends, 1
times, 4
responded, 3
replayed, 1
pronunciation, 2
replied, 3
stuck, 1
least, 7
sure, 6
actually, 7
saying, 6
words, 13
pronounces, 1
captain, 1
ship, 1
endeavour, 1
ran, 2
aground, 1
coast, 1
queensland, 1
men, 1
repairs, 1
cook, 2
led, 1
exploration, 1
party, 3
met, 4
aboriginal, 1
sailors, 2
animals, 2
hopped, 1
riding, 2
pouches, 1
aborigine, 2
referred, 1
later, 6
meant, 6
introductory, 1
untrue, 1
explain, 8
classic, 1
anecdotes, 2
undergraduates, 1
featuring, 1
rest, 6
career, 1
many, 11
sign, 3
old, 6
sessions, 2
linguists, 7
tapes, 2
instructive, 1
useful, 2
visited, 1
generate, 1
good, 10
comes, 2
favorite, 2
source, 2
child, 2
five, 2
home, 2
coloring, 1
crayons, 1
grade, 1
carefully, 4
casual, 2
tone, 1
reserved, 1
requesting, 1
favor, 1
go, 8
um, 2
paper, 3
school, 3
sharon, 2
big, 2
sister, 1
honored, 1
prefab, 1
building, 1
containing, 2
operations, 1
inside, 6
planning, 2
invasion, 1
soldiers, 1
map, 1
burly, 1
electronic, 1
gear, 1
office, 3
cool, 2
air, 5
briefed, 1
idea, 7
faster, 3
progress, 6
approve, 1
digital, 1
camera, 3
showed, 4
drawing, 3
setup, 1
procedure, 3
display, 2
record, 3
hoping, 2
advantage, 3
proceeding, 1
unwritten, 1
occurred, 2
must, 6
writing, 38
mechanical, 1
producing, 1
ought, 1
regular, 1
easier, 1
graphemes, 1
instead, 18
picking, 1
letters, 1
printed, 4
sentence, 21
trying, 15
spoken, 16
respond, 1
displayed, 5
put, 7
spaces, 1
sentences, 8
write, 6
intelligible, 1
splice, 1
leaned, 2
little, 6
technology, 6
understand, 9
machines, 1
intermediaries, 1
believe, 7
restricted, 1
turned, 10
curious, 3
difficulty, 1
reading, 4
completely, 7
pixels, 1
scan, 2
lines, 3
screens, 3
render, 1
unreadable, 1
considered, 4
question, 2
view, 2
soldier, 2
sergeant, 1
bringing, 1
day, 5
summer, 3
date, 1
arrive, 3
looks, 4
blond, 1
girl, 4
unlikely, 2
name, 3
roxie, 5
hanging, 1
may, 6
urge, 1
comments, 2
checking, 1
restrain, 1
worry, 4
mom, 6
weather, 2
definitely, 1
comfort, 1
introductions, 1
engage, 3
ruggedly, 1
handsome, 1
evident, 1
leave, 3
casually, 1
hot, 1
nod, 1
sixth, 1
sense, 4
give, 16
feeling, 2
dressed, 1
glare, 1
lead, 1
toward, 4
amused, 1
missing, 1
private, 2
joke, 2
session, 8
repeated, 3
performed, 2
displaying, 3
word, 17
showing, 1
eventually, 3
understood, 3
set, 4
flat, 1
mounted, 1
inserted, 2
socket, 1
doodle, 1
script, 5
cursive, 2
popped, 1
soon, 3
settled, 1
routine, 1
compiled, 1
parallel, 3
impressions, 1
logographic, 1
alphabetic, 2
logograms, 9
phonetic, 1
information, 12
finding, 2
harder, 1
getting, 5
various, 3
parts, 1
elicit, 3
terms, 7
underside, 1
lined, 1
articulated, 1
bony, 1
probably, 3
eating, 3
respiration, 1
conspicuous, 1
mouth, 1
anus, 1
sorts, 1
addressing, 1
personal, 1
names, 3
answers, 2
unpronounceable, 1
purposes, 1
dubbed, 1
flapper, 13
hoped, 1
conferred, 1
verbs, 6
act, 11
type, 4
written, 15
form, 9
lucky, 1
figure, 2
brought, 4
bunch, 2
props, 2
problem, 2
cracking, 1
simple, 6
intransitive, 1
jumping, 1
demonstrated, 1
charming, 1
lack, 1
presence, 1
inhibit, 1
actions, 2
caught, 1
raspberry, 11
mimicking, 1
performing, 2
equivalent, 2
action, 3
description, 4
glossed, 1
verb, 2
analogs, 1
nouns, 1
however, 3
single, 5
logogram, 12
separate, 4
subject, 5
maintaining, 1
noticed, 1
extra, 3
strokes, 10
added, 2
affixes, 1
noun, 3
instances, 1
decided, 1
transitive, 1
substituting, 1
object, 4
among, 1
apple, 2
slice, 3
food, 1
eat, 1
golden, 1
delicious, 1
bite, 1
whole, 2
kind, 6
giant, 3
nut, 1
gourd, 4
gelatinous, 1
crunching, 1
resulted, 1
reemerged, 1
minus, 1
cornlike, 1
kernels, 1
beneath, 2
changed, 3
possibly, 1
study, 1
graphic, 2
elements, 3
individual, 5
melted, 2
several, 7
mix, 1
multiword, 1
gelatin, 2
egg, 1
descriptions, 1
eats, 1
bore, 2
marker, 2
expected, 2
order, 13
last, 5
longer, 4
laid, 4
standing, 3
examples, 2
inconsistent, 1
realized, 2
contain, 1
rotated, 2
distorted, 1
combined, 3
recognized, 3
guys, 2
kidding, 2
joining, 1
constituent, 1
join, 2
rotating, 1
equal, 1
ease, 2
wonder, 2
consequence, 1
radial, 2
bodies, 1
highly, 2
working, 7
modified, 1
interesting, 10
means, 5
easy, 3
recombine, 1
rules, 2
continuity, 1
splicing, 1
speech, 5
except, 1
applied, 1
continue, 2
fair, 1
days, 2
readily, 2
taught, 1
requiring, 1
cohorts, 1
pondered, 1
implications, 1
via, 1
conferencing, 1
share, 2
videoconferencing, 1
incongruous, 1
primitive, 2
compared, 2
colleagues, 1
remote, 1
familiar, 4
bizarre, 1
discuss, 2
physics, 12
vocabulary, 1
pool, 1
data, 1
coordinate, 2
biggest, 2
confusion, 1
