Word, Count
society, 53
searching, 53
october, 1
21, 3
2013, 6
united, 16
nations, 3
launched, 1
campaign, 10
directed, 3
advertising, 33
agency, 3
memac, 2
ogilvy, 3
, 58
mather, 2
dubai, 2
using, 15
“genuine, 1
google, 122
searches�, 1
bring, 4
attention, 10
sexist, 15
discriminatory, 2
ways, 41
women, 52
regarded, 1
denied, 1
human, 18
rights, 8
christopher, 1
hunt, 2
art, 2
director, 2
said, 3
“when, 1
came, 4
across, 4
searches, 21
shocked, 1
negative, 3
decided, 2
something, 4
them.�, 1
kareem, 1
shuhaibar, 1
copywriter, 1
described, 2
website, 6
determined, 4
show, 10
“the, 13
ads, 8
shocking, 2
far, 3
still, 9
go, 4
achieve, 2
gender, 17
equality, 2
wake, 2
call, 4
hope, 1
message, 1
travel, 1
far.�1, 1
mouths, 1
various, 4
color, 10
autosuggestions, 3
reflected, 4
popular, 13
take, 8
place, 9
search, 223
featured, 1
range, 3
ideas, 12
following, 2
•, 12
cannot, 2
drive, 5
bishops, 1
trusted, 5
speak, 2
church, 2
vote, 1
work, 25
box, 6
stay, 1
home, 2
slaves, 1
kitchen, 1
need, 7
put, 6
places, 2
know, 7
controlled, 1
disciplined, 1
employed, 2
results, 109
make, 13
larger, 3
point, 7
status, 8
public, 59
opinion, 1
toward, 8
also, 18
served, 2
perhaps, 2
unwittingly, 1
underscore, 4
incredibly, 1
powerful, 8
nature, 5
engine, 49
suggests, 8
mirror, 2
users’, 4
beliefs, 5
holds, 3
variety, 8
find, 9
troubling, 3
reinforces, 3
idea, 5
problem, 3
rather, 9
users, 49
engines, 46
simply, 4
rises, 3
black, 54
girls, 23
introduction, 2
people, 46
communities, 2
protections, 4
future, 6
knowledge, 8
information, 91
culture, 6
conclusion, 1
epilogue, 1
content, 80
downloaded, 48
165.124.85.143, 48
fri, 47
04, 47
jun, 47
2021, 47
01:03:58, 47
utc, 48
use, 69
subject, 51
http, 46
16, 2
top, 17
pile, 7
serving, 2
important, 22
disturbing, 3
critique, 11
attitudes, 1
fails, 1
implicate, 1
algorithms, 12
certain, 7
chapter, 2
moves, 2
lens, 4
onto, 1
architecture, 3
order, 13
shed, 1
light, 1
many, 23
factors, 2
keep, 2
racist, 19
first, 12
page, 28
one, 33
limitation, 1
looking, 6
implications, 7
constantly, 2
evolving, 1
shifting, 2
time, 19
captures, 1
aspects, 5
commercial, 41
particular, 5
moment—, 1
2009, 2
2015—, 1
surely, 1
readers, 1
engage, 7
historical, 11
contemporary, 4
study, 16
nevertheless, 2
goal, 5
exploration, 5
get, 3
troublesome, 2
help, 2
us, 10
think, 5
whether, 11
truly, 1
makes, 6
sense, 8
outsource, 2
needs, 4
particularly, 11
increasingly, 6
reliant, 4
lieu, 1
libraries, 4
librarians, 2
teachers, 1
researchers, 6
keepers, 1
resources, 8
even, 14
crucial, 2
living, 1
minority, 3
groups, 10
influence, 4
majority, 6
sexual, 3
minorities, 2
states, 13
often, 16
whims, 1
influences, 1
trying, 2
affect, 1
kinds, 7
offer, 2
identities, 9
rules, 1
might, 11
ever, 6
able, 4
control, 13
way, 25
represented, 6
true, 5
men’s, 2
desires, 2
usage, 1
figure, 17
1.1, 1
17, 2
values, 8
surround, 1
women’s, 8
suggest, 3
reasons, 2
deeper, 3
social, 42
conditions, 5
give, 3
rise, 4
problematic, 11
since, 8
rarely, 4
questioned, 1
internet, 38
come, 4
dominate, 2
racism, 8
sexism, 6
forefront, 1
encounter, 2
experience, 3
pushed, 1
researcher, 1
explore, 1
mechanisms—, 1
technological, 7
social—, 1
could, 25
render, 1
pornification, 4
result, 9
naturalizing, 1
objects, 4
effortlessly, 1
talking, 1
friend, 1
andr�, 1
brock, 1
university, 17
michigan, 1
causally, 1
mentioned, 1
day, 4
“you, 1
see, 14
happens, 3
‘black, 1
girls.’�, 1
stunned, 1
assumed, 3
aberration, 1
potentially, 2
shift, 5
kept, 1
thinking, 7
second, 2
spring, 1
morning, 1
2011, 9
searched, 3
activities, 3
entertain, 1
preteen, 1
stepdaughter, 1
