Word, Count
ï»¿i, 1
life, 59
success, 3
published, 3
masque, 1
poets, 2
request, 1
h.h, 2
, 389
author's, 1
fellow-townswoman, 1
friend, 23
counted, 2
sweetest, 3
ne'er, 2
succeed, 1
comprehend, 1
nectar, 1
requires, 1
sorest, 1
need, 10
one, 105
purple, 21
host, 7
took, 12
flag, 5
to-day, 16
tell, 53
definition, 1
clear, 4
victory, 8
defeated, 1
dying, 10
whose, 29
forbidden, 5
ear, 15
distant, 9
strains, 3
triumph, 7
break, 10
agonized, 1
ii, 16
share, 3
night, 46
bear, 10
morning, 30
blank, 3
bliss, 12
fill, 2
scorning, 1
star, 13
lose, 5
way, 32
mist, 2
afterwards, 1
day, 73
iii, 15
rouge, 3
et, 1
noir, 1
soul, 34
wilt, 3
thou, 22
toss, 3
hazard, 1
hundreds, 1
lost, 29
indeed, 7
tens, 1
angels, 17
breathless, 3
ballot, 1
lingers, 1
record, 2
thee, 43
imps, 1
eager, 1
caucus, 1
raffle, 1
iv, 15
gagne, 1
much, 17
joy, 8
fail, 6
poverty, 3
yet, 48
poor, 7
ventured, 1
upon, 92
throw, 2
gained, 4
yes, 1
hesitated, 1
side, 13
death, 42
breath, 16
least, 10
know, 65
worst, 4
sweet, 23
defeat, 5
means, 3
nothing, 8
drearier, 1
prevail, 1
gain, 8
oh, 21
gun, 1
sea, 40
bells, 12
steeples, 5
first, 31
repeat, 3
slow, 18
heaven, 47
different, 7
thing, 20
conjectured, 2
waked, 2
sudden, 8
might, 28
o'erwhelm, 1
v, 12
glee, 6
great, 9
storm, 11
four, 3
recovered, 1
land, 17
forty, 2
gone, 17
together, 4
boiling, 1
sand, 7
ring, 4
scant, 3
salvation, 1
toll, 3
bonnie, 1
souls, 5
neighbor, 7
bridegroom, 1
spinning, 1
shoals, 1
shipwreck, 2
winter, 6
shakes, 1
door, 29
till, 58
children, 15
ask, 11
come, 37
back, 18
silence, 6
suffuses, 1
story, 2
softness, 1
teller's, 1
eye, 19
question, 3
waves, 1
reply, 5
vi, 12
stop, 7
heart, 28
breaking, 6
shall, 28
live, 11
vain, 3
ease, 3
aching, 2
cool, 10
pain, 16
help, 6
fainting, 2
robin, 10
unto, 24
nest, 6
vii, 12
almost, 16
within, 27
reach, 10
could, 84
touched, 7
chanced, 1
soft, 9
sauntered, 2
village, 10
away, 63
unsuspected, 1
violets, 2
fields, 9
lie, 12
low, 15
late, 13
striving, 1
fingers, 23
passed, 19
hour, 12
ago, 5
viii, 12
wounded, 1
deer, 2
leaps, 2
highest, 1
i've, 8
heard, 19
hunter, 1
ecstasy, 9
brake, 2
still, 44
smitten, 1
rock, 3
gushes, 1
trampled, 1
steel, 2
springs, 1
cheek, 8
always, 8
redder, 1
hectic, 1
stings, 1
mirth, 1
mail, 2
anguish, 12
cautions, 1
arm, 3
lest, 16
anybody, 6
spy, 2
blood, 2
hurt, 6
exclaim, 1
ix, 12
asks, 1
pleasure, 3
excuse, 1
little, 92
anodynes, 1
